donation,gender,age,edu,spouse,housing,nfamily,inc
50000,1,60,4,2,32,63,620
10000,1,16,3,1,31,64,678
100000,1,55,4,2,31,63,678
300000,2,51,3,2,31,63,678
500000,1,37,5,2,32,63,678
120000,1,47,5,2,31,64,678
480000,2,45,6,2,31,64,678
10000,2,16,3,1,31,64,678
600000,1,52,5,2,31,63,650
120000,2,46,6,2,31,63,650
48000,1,39,4,2,31,64,630
120000,2,47,5,2,31,63,678
100000,1,55,4,2,31,64,640
83000,2,49,3,2,31,64,640
140000,1,69,4,2,31,62,610
140000,2,63,3,2,31,62,610
40000,2,40,5,1,31,64,660
70000,1,48,3,2,31,64,630
240000,1,54,5,2,31,62,640
50000,2,26,5,1,33,61,630
1500000,1,34,6,2,32,63,678
30000,2,18,3,1,32,64,678
40000,2,17,3,1,32,64,678
60000,2,34,5,2,31,64,630
20000,1,44,7,2,32,64,678
720000,2,36,5,2,31,64,640
300000,1,52,6,2,31,63,678
600000,2,50,5,2,31,63,678
100000,1,45,5,2,31,64,640
480000,2,43,5,2,31,64,640
1000000,2,42,4,2,31,64,678
360000,2,16,3,1,31,64,678
240000,1,41,5,2,31,63,630
120000,1,59,5,2,31,62,650
120000,2,55,5,2,31,62,650
120000,1,44,7,2,31,64,678
120000,2,36,6,2,31,64,678
300000,1,51,7,2,31,63,678
100000,1,73,5,2,31,64,678
100000,2,71,5,2,31,64,678
120000,1,40,5,2,31,64,678
360000,1,44,4,2,32,64,678
420000,2,41,5,2,32,64,678
500000,2,49,3,2,32,63,640
10000,2,33,4,2,32,63,678
200000,1,61,4,2,32,63,630
120000,1,36,5,1,31,63,640
10000,2,14,2,1,31,64,650
500000,1,51,4,2,31,63,660
120000,2,46,5,2,31,63,660
120000,1,57,4,2,31,63,650
120000,2,57,4,2,31,63,650
360000,1,46,5,2,31,63,660
240000,2,45,5,2,31,63,660
50000,1,62,1,2,31,62,610
100000,1,31,4,2,32,64,640
120000,2,57,2,2,31,63,630
360000,1,45,5,2,31,64,678
1000000,2,41,5,2,31,64,678
240000,1,53,5,2,31,63,650
100000,1,58,7,1,31,61,678
240000,1,59,3,2,31,62,640
150000,2,38,5,1,31,63,630
10000,1,44,5,2,31,64,660
80000,2,55,4,2,31,64,640
80000,2,28,4,1,31,64,640
100000,2,46,3,1,31,62,630
30000,1,57,5,2,31,61,650
100000,1,49,5,2,31,63,650
100000,2,49,4,2,31,63,650
10000,2,61,3,4,32,61,630
240000,2,38,4,1,32,63,620
200000,1,55,4,2,31,63,650
240000,2,54,3,2,31,62,640
500000,1,45,5,2,31,61,678
240000,2,42,5,2,35,64,630
600000,2,41,4,2,31,64,660
240000,2,13,2,1,31,64,660
120000,2,67,2,2,35,62,610
600000,1,50,5,2,31,64,630
240000,2,45,6,2,31,64,630
360000,1,46,4,2,31,64,660
1200000,1,69,1,2,31,62,630
500000,1,44,4,2,31,63,650
240000,1,44,4,2,31,64,640
240000,1,65,4,2,35,64,630
120000,2,25,5,1,31,64,678
240000,2,61,3,2,31,63,640
660000,1,41,4,2,31,62,630
240000,1,56,3,2,31,62,678
2420000,1,67,3,2,31,62,678
80000,1,76,2,2,31,62,620
40000,2,61,3,2,32,64,630
15000,2,16,3,1,32,64,610
200000,2,46,5,2,33,64,650
120000,2,62,3,4,33,63,620
1200000,1,24,5,1,33,61,620
300000,1,76,1,2,31,62,630
60000,1,61,4,2,31,62,630
120000,1,61,4,2,31,62,630
240000,2,61,3,2,31,62,630
150000,1,67,4,2,31,62,610
540000,2,43,4,2,31,64,678
120000,2,47,3,2,31,62,650
600000,2,48,4,2,31,63,660
120000,2,42,5,5,31,64,640
300000,1,64,2,2,31,63,650
10000,2,35,5,2,31,63,650
240000,2,59,4,2,31,62,630
400000,2,66,3,2,31,62,620
240000,2,28,4,1,33,61,620
240000,2,38,4,1,33,61,610
120000,2,72,1,2,31,62,640
30000,1,76,5,2,31,63,640
300000,1,36,4,1,33,61,678
840000,1,51,4,1,33,61,630
960000,2,49,3,2,33,62,650
50000,2,27,4,1,33,62,650
1800000,1,75,6,2,31,62,630
300000,1,53,5,2,35,61,678
1200000,2,55,3,2,31,63,630
500000,1,63,4,5,31,61,630
60000,1,69,3,2,31,64,620
120000,2,42,6,2,32,64,660
300000,1,57,5,2,32,64,630
36000,2,33,6,2,32,64,660
300000,2,77,2,5,31,61,620
210000,1,41,4,1,32,61,630
30000,1,72,2,5,34,61,620
50000,1,54,3,2,31,63,640
100000,2,51,3,2,31,63,640
1000000,2,58,5,2,31,63,678
120000,1,43,4,2,31,61,650
200000,2,39,4,2,31,64,650
300000,1,52,7,2,35,62,620
10000,1,54,3,4,31,61,620
10000,1,59,3,2,31,62,650
30000,1,60,3,2,31,64,678
120000,1,56,4,2,31,63,678
30000,2,31,5,2,31,63,640
60000,2,39,4,2,31,64,660
2000000,1,49,7,2,33,64,678
120000,2,50,6,2,33,64,678
240000,1,52,4,2,31,64,678
240000,2,53,5,2,31,64,678
1000000,1,64,3,2,31,62,630
360000,2,54,7,2,31,63,678
3000,1,16,3,1,31,63,678
50000,1,69,5,2,31,62,640
240000,1,38,5,1,31,63,620
120000,1,59,4,2,31,62,660
240000,2,72,2,5,31,61,610
36000,1,25,3,1,31,62,610
40000,1,66,4,2,31,62,650
30000,2,40,4,1,33,62,620
120000,2,54,3,4,33,61,650
360000,1,28,4,1,33,62,620
240000,2,55,3,5,31,62,630
600000,1,23,4,1,31,62,630
480000,1,56,3,2,31,63,660
480000,2,57,3,2,31,63,660
240000,2,50,3,2,33,64,610
360000,1,50,3,2,31,63,630
140000,2,56,4,2,31,63,678
360000,2,66,3,2,31,62,620
55000,2,52,5,3,31,61,630
360000,2,55,3,5,31,62,610
120000,2,43,5,1,31,63,640
20000,2,47,4,2,31,64,660
300000,2,32,5,2,32,63,630
10000,1,69,3,2,31,62,630
400000,2,65,2,2,31,62,630
50000,2,42,7,1,31,62,610
240000,2,32,5,1,31,63,650
120000,2,60,5,4,31,61,620
190000,2,45,5,1,31,63,620
1200000,1,56,6,2,31,63,678
120000,1,62,5,2,31,64,660
50000,2,52,2,2,31,63,650
200000,2,20,3,1,31,63,650
50000,1,59,4,2,31,63,650
12000,1,40,5,2,33,64,678
12000,2,40,5,2,33,64,678
200000,1,41,6,2,32,62,678
20000,2,39,5,2,32,62,678
60000,2,50,4,2,31,63,678
360000,2,72,1,5,31,62,630
960000,2,45,5,2,33,63,630
120000,2,61,1,2,31,63,660
120000,2,50,5,2,31,63,678
10000,1,20,3,1,31,64,678
120000,1,62,5,2,31,62,650
360000,1,45,4,2,32,64,650
40000,2,17,3,1,32,64,650
10000,2,15,2,1,32,64,650
2000000,2,51,3,4,31,61,650
240000,1,59,3,2,35,63,640
10000,1,16,3,1,31,64,640
240000,1,41,5,4,31,63,650
240000,1,60,5,2,31,63,640
120000,2,58,4,2,31,63,640
240000,1,64,3,3,31,61,640
120000,2,48,4,4,33,63,640
360000,2,47,3,2,31,64,650
720000,2,52,5,4,35,63,630
240000,2,38,5,2,32,64,640
240000,2,72,3,5,31,61,620
360000,2,55,4,2,31,62,640
10000,2,63,2,5,31,61,620
120000,2,66,2,5,31,61,620
480000,2,37,4,2,31,63,640
20000,1,47,1,2,31,64,650
100000,2,16,3,1,31,64,660
